Document ID,Title,Source,Authority,Domain,Jurisdiction,Year,Legal Status,URL
doc-tkdl-001,TKDL Prior Art Formulation: Ashwagandhadi Churna (Charaka Samhita),Traditional Knowledge Digital Library (TKDL) - CSIR / Ministry of Ayush,CSIR-TKDL & Ministry of Ayush,ayush,IN,2001,public_domain_prior_art,https://www.tkdl.res.in
doc-tkdl-002,TKDL Prior Art Formulation: Haridra Khanda (Bhaishajya Ratnavali),Traditional Knowledge Digital Library (TKDL) - CSIR / Ministry of Ayush,CSIR-TKDL & Ministry of Ayush,ayush,IN,2002,public_domain_prior_art,https://www.tkdl.res.in
doc-api-ashwagandha-001,Ayurvedic Pharmacopoeia of India: Withania somnifera Monograph,Ayurvedic Pharmacopoeia of India (API),Pharmacopoeia Commission for Indian Medicine & Homoeopathy (PCIM&H),ayush,IN,2016,statutory_standard,https://pcimh.gov.in
doc-api-guduchi-002,Ayurvedic Pharmacopoeia of India: Tinospora cordifolia (Guduchi) Monograph,Ayurvedic Pharmacopoeia of India (API),Pharmacopoeia Commission for Indian Medicine & Homoeopathy (PCIM&H),ayush,IN,2016,statutory_standard,https://pcimh.gov.in
doc-afi-triphala-001,Ayurvedic Formulary of India: Triphala Churna Specification,Ayurvedic Formulary of India (AFI),Ministry of Ayush / Pharmacopoeia Commission,ayush,IN,2003,enforceable_formulary_standard,https://pcimh.gov.in
doc-afi-chyawanprash-002,Ayurvedic Formulary of India: Chyawanprash Avaleha Standard,Ayurvedic Formulary of India (AFI),Ministry of Ayush,ayush,IN,2003,enforceable_formulary_standard,https://pcimh.gov.in
doc-india-code-patents-sec3e,"The Patents Act, 1970: Section 3(e) - Exclusion of Mere Admixtures","India Code - Legislative Department, Ministry of Law and Justice","Parliament of India / Controller General of Patents, Designs and Trade Marks (CGPDTM)",patents,IN,1970,in_force,https://www.indiacode.nic.in
doc-india-code-patents-sec3p,"The Patents Act, 1970: Section 3(p) - Exclusion of Traditional Knowledge","India Code - Legislative Department, Ministry of Law and Justice",Parliament of India / CGPDTM,patents,IN,1970,in_force,https://www.indiacode.nic.in
doc-india-code-patents-sec10-4,"The Patents Act, 1970: Section 10(4)(ii)(D) - Disclosure of Biological Source and Origin","India Code - Legislative Department, Ministry of Law and Justice",Parliament of India / CGPDTM,patents,IN,1970,in_force,https://www.indiacode.nic.in
doc-dca-1940-sec33ee,"Drugs and Cosmetics Act, 1940: Section 33EE - Misbranded Ayurvedic Drugs","Drugs and Cosmetics Act, 1940 (Act No. 23 of 1940)",Central Drugs Standard Control Organization (CDSCO) & Ministry of Ayush,ayush,IN,1940,in_force,https://cdsco.gov.in
doc-dca-1940-sec33eeb,"Drugs and Cosmetics Act, 1940: Section 33EEB - Patent or Proprietary Ayurvedic Medicine Definition","Drugs and Cosmetics Act, 1940",Ministry of Ayush / State Licensing Authorities,ayush,IN,1940,in_force,https://cdsco.gov.in
doc-dcr-1945-rule158b,"Drugs and Cosmetics Rules, 1945: Rule 158B - Guidelines for Issue of License with Respect to ASU Drugs","Drugs and Cosmetics Rules, 1945",Ministry of Ayush / State Licensing Authorities,ayush,IN,1945,in_force,https://cdsco.gov.in
doc-dcr-1945-schedulet,"Drugs and Cosmetics Rules, 1945: Schedule T - Good Manufacturing Practices (GMP) for ASU Drugs","Drugs and Cosmetics Rules, 1945",Ministry of Ayush,ayush,IN,1945,in_force,https://cdsco.gov.in
doc-ip-india-pat-2018-01,IP India Patent Publication: Synergistic Herbal Formulation for Metabolic Disorders,Indian Patent Office (IP India) Official Journal,"Controller General of Patents, Designs and Trade Marks (CGPDTM)",patents,IN,2018,granted_patent,https://ipindiaservices.gov.in
doc-gi-reg-kashmir-saffron,Geographical Indications Registry: Kashmir Saffron (Application No. 635),Geographical Indications Registry of India (CGPDTM),"Geographical Indications Registry, Chennai",gi,IN,2020,registered_gi,https://ipindia.gov.in/girindia
doc-wipo-igc-tk-001,WIPO Intergovernmental Committee: Protection of Traditional Knowledge Draft Articles,World Intellectual Property Organization (WIPO),"WIPO Intergovernmental Committee on IP and Genetic Resources, Traditional Knowledge and Folklore (IGC)",patents,GLOBAL,2023,international_draft_framework,https://www.wipo.int/tk/en
doc-who-ayur-term-001,WHO International Standard Terminologies on Ayurveda: Core Concepts & Botanical Standards,"World Health Organization (WHO) Traditional, Complementary and Integrative Medicine Unit",World Health Organization (WHO),ayush,GLOBAL,2023,international_standard,https://www.who.int/publications/i/item/9789240064959
doc-nba-guidelines-sec6,National Biodiversity Authority: Guidelines for Prior Approval under Section 6 of Biological Diversity Act,National Biodiversity Authority (NBA) - Statutory Body of Govt. of India,"National Biodiversity Authority (NBA), Chennai",abs,IN,2014,in_force,http://nbaindia.org
doc-abs-reg-2014-guidelines,"Guidelines on Access to Biological Resources and Associated Knowledge and Benefits Sharing Regulations, 2014","Ministry of Environment, Forest and Climate Change / NBA Notification",National Biodiversity Authority (NBA),abs,IN,2014,in_force,http://nbaindia.org
